member_id_masked,customer_type
75023,A
38515,A
37981,A
51011,A
44617,A
6300,A
1856,A
39714,A
9903,
10547,A
69742,A
68617,
21870,
2356,A
55195,B
80307,A
50662,A
7010,A
3746,A
30306,
51757,A
1046,
64004,A
28534,
7100,B
77263,
31139,
15938,A
41592,A
49290,A
16648,A
53206,A
46108,A
24695,A
3096,
23106,A
64358,A
78513,A
81268,A
34888,A
73382,A
9098,A
24973,A
16334,
70448,
12482,A
36192,A
53723,A
69822,A
17380,
18612,A
46076,A
13003,A
82045,A
22270,A
26199,A
75968,A
48280,
55677,
67406,A
28533,A
20248,A
73735,
32803,A
57119,A
5002,A
3838,A
48352,
55902,B
64097,A
61380,A
62676,
49432,A
41742,A
6362,A
52643,A
25598,A
5471,
3664,A
13992,A
64391,A
44714,A
9129,A
62293,A
2618,A
17341,A
30497,A
74076,A
77671,A
51484,A
48105,A
7740,A
3553,A
79182,A
42083,A
70229,A
23387,A
15142,A
65804,A
76694,A
68043,A
722,A
24474,A
23137,A
65182,
72215,A
82018,
79679,A
40018,A
19690,A
48829,A
42803,A
69199,A
34907,A
66609,A
76727,A
48082,A
68710,A
74605,A
18181,A
29328,A
29750,
17190,A
29213,A
37404,
27005,A
80968,
6029,A
39454,A
20753,A
79062,A
40775,A
76320,
14982,A
34807,A
9752,A
58188,A
19210,
4672,A
57598,A
39420,A
36113,
53973,A
409,A
39616,A
2077,A
46120,
79650,
11948,A
40328,
44011,A
68338,A
54118,A
28333,A
539,B
28716,
78989,A
78290,A
62755,A
79091,A
54044,
38414,
40334,A
35396,
19346,A
26657,A
27226,A
60576,A
69456,A
113,A
6125,A
2516,
46166,A
55881,A
45709,
75261,
31934,
6825,A
50811,A
71352,A
10023,A
7235,
53300,A
6405,A
19482,A
76347,
22914,A
4248,A
27166,A
52720,
19179,A
29522,
45560,A
28690,
20808,A
26041,A
58159,A
17704,A
17557,
68215,A
62340,A
21877,
71155,A
57463,A
59423,A
35442,A
74138,A
24633,
15987,A
49186,A
40539,A
8513,A
72676,
33265,B
75467,A
80488,B
6363,A
80144,A
52575,A
6792,A
70224,A
55201,A
8739,A
28326,A
18311,A
63730,A
1724,
73011,A
58829,A
56068,
6217,A
51546,A
65380,
17088,A
75863,A
30745,A
79265,A
57117,A
61357,A
69786,A
80215,A
78198,A
23964,A
33246,A
6086,A
31308,A
42144,
79823,A
9561,A
71905,A
63022,A
45210,A
21081,A
67750,A
48479,A
17599,
4302,A
11139,A
62990,A
44067,
632,A
38688,
42952,A
13793,A
1435,A
13957,A
38530,
55880,A
24046,A
71584,A
58832,A
67276,A
43127,
50318,A
55245,A
76148,A
45279,A
12807,
41775,A
37056,A
13027,A
39055,A
32704,
78985,
55211,A
10315,A
17480,A
49597,A
1710,A
81936,A
15804,A
27164,A
63040,A
79561,A
55013,A
21680,A
40250,A
45992,
59542,A
3521,A
56113,A
19699,A
48124,B
17052,
21445,
72128,A
65238,A
55342,A
69206,A
22075,A
3291,A
45981,A
30644,
25956,A
22668,A
29009,
56795,A
69444,A
13490,
45451,A
23488,A
73465,A
3082,
33809,A
65070,A
2245,A
78456,A
8302,
34977,A
59729,A
19237,
40157,A
69779,A
10032,A
435,A
14825,A
18989,A
29977,A
25247,A
43383,A
11146,A
411,A
33002,A
15381,A
15665,A
68333,
77875,A
41513,A
46343,B
75691,A
46830,A
8706,A
25496,A
2836,A
13617,A
66578,A
10387,A
74900,A
41622,A
10660,A
33416,B
37273,A
78527,A
70747,A
80208,A
21599,A
51899,A
45086,A
55317,
33380,B
21522,A
4548,A
6517,A
79122,A
43771,
25578,A
3992,
